State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
New York,New York,New York,  40.799700000000001, -73.934320000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
New York,New York,New York,  40.799700000000001, -73.934320000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
New York,New York,New York,  40.799700000000001, -73.934320000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
New York,New York,New York,  40.729999999999997, -73.983999999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
New York,New York,New York,  40.729999999999997, -73.983999999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
New York,New York,New York,  40.714359999999999, -73.995180000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
New York,New York,New York,  40.714359999999999, -73.995180000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,104
New York,New York,New York,  40.819760000000002, -73.948250000000002,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6075
New York,Middleport,Niagara,  43.223860000000002, -78.478880000000004,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3882
New York,Niagara Falls,Niagara,  43.082180000000001, -79.001059999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,23
New York,Niagara Falls,Niagara,  43.082180000000001, -79.001059999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,23
New York,East Syracuse,Onondaga,  43.052349999999997, -76.059209999999993,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5845
New York,East Syracuse,Onondaga,  43.052349999999997, -76.059209999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
New York,East Syracuse,Onondaga,  43.052349999999997, -76.059209999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,114
New York,Newburgh,Orange,  41.499160000000003, -74.008849999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
New York,Newburgh,Orange,  41.499160000000003, -74.008849999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,113
New York,Montgomery,Orange,  41.523750000000000, -74.215339999999998,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5839
New York,Fulton,Oswego,  43.284280000000003, -76.463239999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6138
New York, ,Putnam,  41.455889999999997, -73.709770000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6026
